id,nombre,carrera_id
254,Práctica Pre-profesional,6
255,Inglés II,6
256,Módulo de Informática opcional A,6
257,Módulo de Informática opcional B,6
258,Psicología de la Educación,7
259,"Taller ""Las Instituciones Educativas""",7
260,Filosofía de la Educación,7
261,"Política, Estado y Educación",7
262,Teorías del Aprendizaje,7
263,Historía de la Educación Argentina y Latinoamericana,7
264,Economía de la Educación,7
265,Sociología de la Educación,7
266,Administración y Gestión I,7
267,Teoría Curricular,7
268,Teorías Pedagógicas,7
269,Infancia y Juventud,7
270,Administración y Gestión II (Incluye 32 hs. de tareas de prácticas de campo),7
271,Didáctica I,7
272,"Talleres ""Las TIC en Educación""",7
273,Adultos Mayores,7
274,Niveles y Modalidades del Sistema educativo argentino,7
275,Investigación Educativa I,7
276,Didáctica II (Incluye 32 hs. de prácticas docentes),7
277,Seminario de Pensamiento Nacional y Latinoamericano,7
278,Nuevos Modelos Universitarios,7
279,Seminario de Justicia y Derechos Humanos,7
280,Investigación Educativa II,7
281,Sistemas Educativos Comparados,7
282,Políticas Públicas en Educación,7
283,Formulación de proyectos de Formación profesional y Capacitación Laboral,7
284,Ateneo I,7
285,Prácticas Profesionales (incluye 32 hs. de prácticas fuera del aula),7
286,Ateneo II,7
287,Seminario Optativo I,7
288,Seminario Optativo II,7
289,Seminario Optativo III,7
290,Seminario Optativo IV,7
291,Seminario Optativo V,7
292,Taller de Trabajo Final (incluye 32 hs de tutorías personalizadas),7
293,Inglés I,7
294,Inglés II,7
295,Taller de Inglés para Educación,7
296,Informática Módulo a elección ,7
297,Informática Módulo a elección ,7
298,Informática Módulo 14. Formación de usuarios de la Biblioteca Rodolfo Puiggrós,7
299,Informática Módulo 15. Bibliotecas digitales y acceso a sistemas de información académica.,7
300,Introducción a la problemática urbana,9
301,Ambiente I,9
302,Geografía urbana,9
303,Introducción al desarrollo sustentable,9
304,Taller de ciencias aplicadas al ambiente,9
305,Técnicas en cartografía y fotointerpretación,9
306,Principios de administración y gestión,9
307,Matemática y estadística aplicada a estudios ambientales,9
308,Sociología ambiental,9
309,Ciudad y territorio,9
310,Ambiente II,9
311,Taller de investigación urbana,9
312,Economía y desarrollo sustentable I,9
313,Teledetección y sistemas de información geográfica,9
314,Educación ambiental,9
315,Procesos urbanos I,9
316,Fundamentos de ecología,9
317,Procesos de Evaluación de Impactos Ambientales,9
318,Legislación Ambiental,9
319,Ambiente III,9
320,Economía y Desarrollo Sustentable II,9
321,Práctica Pre-Profesional,9
322,Gestión Administrativa Municipal Ambiental,9
323,Procesos Urbanos II,9
324,Redes I: Movilidad urbana,9
325,Seminario optativo I,9
326,Inglés I,9
327,Inglés II,9
328,Informática Módulo 3: Planilla de Cálculo 1,9
329,Informática Módulo 4: Planilla de Cálculo 2,9
330,Seminario de Justicia y Derechos Humanos,9
331,Seminario de Pensamiento Nacional y Latinoamericano,9
332,Política Ambiental en Argentina y Mercosur,9
333,Procesos de Producción del Hábitat,9
334,Ambiente IV,9
335,Formulación y Gestión de proyectos Urbano-Ambientales,9
336,Gestión Ambiental y Empresa,9
337,Procesos urbanos III,9
338,Redes II: Servicios y saneamiento urbano,9
339,Seminario optativo II,9
